,growth_time,source,sell_prices_silver,seed,sell_prices_gold,description,general_store_price,night_market_price,sell_price_regular,egg_festival_price,sell_price_silver,traveling_cart_price_min,sell_prices_iridium,sell_price_iridium,artisan_sell_price,sell_price_gold,sell_prices_regular,traveling_cart_price_max,regrowth_time,base,oasis_price,xp,energy,season,jojamart_price,name
11,8 days (6 when irrigated),,37,Rice Shoot,45,Rice in its rawest form. Run this through a mill to increase the value.,40,,,,,100,60,,,,30,1000,,Artisan (+40%),,7 Farming XP,,Spring,,Unmilled Rice
12,13 days,,62,Blueberry Seeds,75,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration.,80,,,,,120,100,,,,50,1000,4,Artisan (+40%),,10 Farming XP per harvest,,Summer,,Blueberry
13,14 days,,62,Corn Seeds,75,"One of the most popular grains. The sweet, fresh cobs are a summer favorite.",150,,,,,225,100,,,,50,1000,4,Artisan (+40%),,10 Farming XP,,"Summer, Fall",187,Corn
14,11 days,,31,Hops Starter,37,"A bitter, tangy flower used to flavor beer.",60,,,,,100,50,,,,25,1000,1,Artisan (+40%),,6 Farming XP,,Summer,75,Hops
15,5 days,,50,Pepper Seeds,60,Fiery hot with a hint of sweetness.,40,,,,,100,80,,,,40,1000,3,Artisan (+40%),,9 Farming XP,,Summer,50,Hot Pepper
16,12 days,,312,Melon Seeds,375,"A cool, sweet summer treat.",80,,,,,120,500,,,,250,1000,,Artisan (+40%),,27 Farming XP,,Summer,100,Melon
17,7 days,,175,Poppy Seeds,210,"In addition to its colorful flower, the Poppy has culinary and medicinal uses.",100,,,,,150,280,,,,140,1000,,Artisan (+40%),,20 Farming XP,,Summer,125,Poppy
18,6 days,,112,Radish Seeds,135,A crisp and refreshing root vegetable with hints of pepper when eaten raw.,40,,,,,100,180,,,,90,1000,,Artisan (+40%),,15 Farming XP,,Summer,50,Radish
19,9 days,,325,Red Cabbage Seeds,390,Often used in salads and coleslaws. The color can range from purple to blue to green-yellow depending on soil conditions.,100,,,,,150,520,,,,260,1000,,Artisan (+40%),,28 Farming XP,,Summer,,Red Cabbage
20,13 days,,937,Starfruit Seeds,1125,"An extremely juicy fruit that grows in hot, humid weather. Slightly sweet with a sour undertone.",200,,,,,600,1500,,,,750,1000,,Artisan (+40%),400,43 Farming XP,,Summer,,Starfruit
21,8 days,,112,Spangle Seeds,135,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma.",50,,,,,100,180,,,,90,1000,,Artisan (+40%),,15 Farming XP,,Summer,62,Summer Spangle
22,8 days,,100,Sunflower Seeds,120,A common misconception is that the flower turns so it's always facing the sun.,200,,,,,100,160,,,,80,1000,,Artisan (+40%),,14 Farming XP,,"Summer, Fall",125,Sunflower
23,11 days,,75,Tomato Seeds,90,"Rich and slightly tangy, the Tomato has a wide variety of culinary uses.",50,,,,,100,120,,,,60,1000,4,Artisan (+40%),,12 Farming XP,,Summer,62,Tomato
24,4 days,,31,Wheat Seeds,37,One of the most widely cultivated grains. Makes a great flour for breads and cakes.,10,,,,,100,50,,,,25,1000,,Artisan (+40%),,6 Farming XP,Inedible,"Summer, Fall",12,Wheat
25,7 days,,187,Amaranth Seeds,225,A purple grain cultivated by an ancient civilization.,70,,,,,105,300,,,,150,1000,,Artisan (+40%),,21 Farming XP,,Fall,87,Amaranth
26,8 days,,200,Artichoke Seeds,240,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior.",30,,,,,100,320,,,,160,1000,,Artisan (+40%),,22 Farming XP,,Fall,,Artichoke
27,6 days,,125,Beet Seeds,150,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad.",,,,,,100,200,,,,100,1000,,Artisan (+40%),20,16 Farming XP,,Fall,,Beet
28,4 days,,100,Bok Choy Seeds,120,The leafy greens and fibrous stalks are healthy and delicious.,50,,,,,100,160,,,,80,1000,,Artisan (+40%),,14 Farming XP,,Fall,62,Bok Choy
29,7 days,,93,Cranberry Seeds,112,These tart red berries are a traditional winter food.,240,,,,,180,150,,,,75,1000,5,Artisan (+40%),,14 Farming XP per harvest,,Fall,300,Cranberries
30,5 days,,75,Eggplant Seeds,90,A rich and wholesome relative of the tomato. Delicious fried or stewed.,20,,,,,100,120,,,,60,1000,5,Artisan (+40%),,12 Farming XP,,Fall,25,Eggplant
31,12 days,,362,Fairy Seeds,435,An old folk legend suggests that the sweet smell of this flower attracts fairies.,200,,,,,300,580,,,,290,1000,,Artisan (+40%),,29 Farming XP,,Fall,250,Fairy Rose
32,7 days (Summer Seeds)10 days (Grape Starter),"Foraging,Farming",100,Summer Seeds (Summer) Grape Starter (Fall),120,A sweet cluster of fruit.,,,,,,165,160,,,,80,1000,3,Artisan (+40%),,Summer Seeds: 7 Foraging XPForaging: 7 Foraging XPGrape Starter: 14 Farming XP,,Summer (Summer Seeds and Foraging) Fall (Grape Starter),,Grape
33,13 days,,400,Pumpkin Seeds,480,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration.",100,,,,,150,640,,,,320,1000,,Artisan (+40%),,31 Farming XP,Inedible,Fall,125,Pumpkin
34,10 days,,200,Yam Seeds,240,A starchy tuber with a lot of culinary versatility.,60,,,,,100,320,,,,160,1000,,Artisan (+40%),,22 Farming XP,,Fall,75,Yam
35,28 days,,687,Ancient Seeds,825,It's been dormant for eons.,,,,,,100,1100,,,,550,1000,7,Artisan (+40%),,38 Farming XP,Inedible,"Spring, Summer, Fall",,Ancient Fruit
36,12 days,"Foraging in the Desert
Oasis
 Cactus Seeds",93,,112,The sweet fruit of the prickly pear cactus.,,,,,,,150,,,,75,,3,Artisan (+40%),,"Foraging: 7 Foraging XP
Cactus Seeds: 14 Farming XP
Oasis: N/A",,All,,Cactus Fruit
37,,"Weeds
Desert Trader
Wilderness Golem",,Fiber Seeds,,Raw material sourced from plants.,,,1,,1,,,1,,1,,,,,,,,,,Fiber
38,,,,,,There's a little bit of everything here. Plant them and see what grows!,,,,,,,,,,,,,,,,,,,,Mixed Seeds
39,14 days,,375,Pineapple Seeds,450,A sweet and tangy tropical treat.,,,,,,,600,,,,300,,7,Artisan (+40%),,30 Farming XP,,All on Ginger Island Summer in the valley,,Pineapple
40,10 days (7 when irrigated),,125,Taro Tuber,150,This starchy root is one of the most ancient crops.,,,,,,,200,,,,100,,,Artisan (+40%),,5 Farming XP,,All on Ginger Island Summer in the Valley,,Taro Root
41,24 days,,,Rare Seed,,It's by far the sweetest thing you've ever smelled.,,,3000,,3750,600,,6000,,4500,,1000,,,,64 Farming XP,Inedible,Fall,,Sweet Gem Berry
42,20 days,,,Tea Sapling,,"The young leaves of the tea plant. Can be brewed into the popular, energizing beverage.",,,,,,1500,,,,,50,2500,1,Artisan (+40%),,0,Inedible,"Spring, Summer • Fall",,Tea Leaves
